premise_code,premise,address,premise_type,state,district
21396.0,99 SPEEDMART BIDOR SENTRAL,"NO 13&14 (G), JALAN BIDOR CENTRAL 1,PUSAT PERDAGANGAN BIDOR SENTRAL,BIDOR",Pasar Mini,Perak,Batang Padang
21397.0,SEGI FRESH SUNGAI SIPUT,"NO 47G-49G, PERSIARAN KOMERSIAL 4,KOMERSIAL WATERFRONT,SUNGAI SIPUT",Pasar Raya / Supermarket,Perak,Kuala Kangsar
21398.0,BINTANG FRESH KUALA KANGSAR,"LOT 6629, 6630, 6632,JALAN DATO SAGOR,",Pasar Raya / Supermarket,Perak,Kuala Kangsar
21399.0,V SEGAR MART SUNGAI SIPUT,"NO 1178, JALAN LINTANG PEKAN,SUNGAI SIPUT,",Pasar Raya / Supermarket,Perak,Kuala Kangsar
21400.0,99 SPEEDMART SG GEDONG,"GROUND FLOOR, NO 5&6 JALAN BESAR, KAMPUNG SG GEDONG,BAGAN SERAI,",Pasar Mini,Perak,Kerian
21401.0,ECONSAVE KUALA KANGSAR,"NO 1, PERSIARAN PENYAYANG TAMAN INDAH,KUALA KANGSAR,",Pasar Raya / Supermarket,Perak,Kuala Kangsar
21402.0,99 SPEEDMART TAMAN PIANDANG INDAH,"NO 2&2A(G), JALAN PIANDANG18, TAMAN PIANDANG INDAH,TANJUNG PIANDANG,",Pasar Mini,Perak,Kerian
21403.0,PASAR MINI JIMAT KAWAN MAJU,"LOT 40,41,JALAN BESAR,MANONG",Pasar Mini,Perak,Kuala Kangsar
21404.0,SIN WAH CHOONG MINI MARKET,"A40, ALAN BARU,,PARIT BUNTAR,",Pasar Mini,Perak,Kerian
21405.0,TY PASARAYA JIMAT MEDAN SURIA,"NO 8, PERSIAPAN MEDAN SURIA,TAMAN SURIA,",Pasar Mini,Perak,Kuala Kangsar
21406.0,SUPER NYAN NYAN MINI MARKET,"NO 1, JALAN HARMONI, PUSAT BANDAR,BAGAN SERAI,",Pasar Mini,Perak,Kerian
21407.0,SINYIN SUPERMARKET SDN BHD,"NO.23-32, SUBLOT 2413-2422, GROUND FLOOR, 1ST FLOOR & 2ND FLOOR AND NO.33-41, SUBLOT 2423-2423, 1ST & 2ND FLOOR LOT435, 433&611, BLOCK 49, JALAN KAPUR,NO.23-32, SUBLOT 2413-2422, GROUND FLOOR, 1ST FLOOR & 2ND FLOOR AND NO.33-41, SUBLOT 2423-2423, 1ST & 2ND FLOOR LOT435, 433&611, BLOCK 49, JALAN KAPUR,",Pasar Raya / Supermarket,Sarawak,Sarikei
21408.0,PERNIAGAAN SENG S/B,"NO.22 JALAN NENAS, 96100 SARIKEI,NO.22 JALAN NENAS, 96100 SARIKEI,",Pasar Raya / Supermarket,Sarawak,Sarikei
21409.0,PASARAYA ECONO BATU KURAU,"LOT 8,10,12,14 &16, GROUND FLOOR, SUSUR KURAU MUTIARA,,TAMAN KURAU MUTIARA, BATU KURAU,",Pasar Mini,Perak,"Larut, Matang & Selama"
21410.0,PASARAYA ECONO KAMUNTING,"NO 47, 49 & 51, JALAN MEDAN KAMUNTING 1,,MEDAN KAMUNTING, KAMUNTING,",Pasar Raya / Supermarket,Perak,"Larut, Matang & Selama"
21411.0,S & K SHOP SDN BHD,"NO 23, LORONG 3,,PEKAN KAMUNTING, KAMUNTING,",Pasar Mini,Perak,"Larut, Matang & Selama"
21412.0,DAILY MM MART,"NO 37, 39 & 43, LORONG 1,,TAMAN LAGENDA, SIMPANG,",Pasar Mini,Perak,"Larut, Matang & Selama"
